trap_id,latitude,longitude,date_deployed,date_removed
AP001,13.47741,144.80824,2015-04-02,
AP002,13.47697,144.80733,2015-04-02,
AP003,13.47631,144.80618,2015-04-02,
AP004,13.47532,144.80405,2015-04-02,
AP005,13.47489,144.80273,2015-04-02,
AP006,13.47436,144.80164,2015-04-02,
AP007,13.47332,144.80167,2015-04-02,
AP008,13.47198,144.80156,2015-04-02,
AP009,13.47046,144.80113,2015-04-02,
AP010,13.47067,144.79985,2015-04-02,
AP011,13.4711,144.79868,2015-04-02,
AP012,13.47156,144.79745,2015-04-02,
AP013,13.47205,144.79646,2015-04-02,
AP014,13.4725,144.79501,2015-04-02,
AP015,13.47394,144.78889,2015-04-02,
AP016,13.49171,144.797759,2015-04-02,
AP017,13.49141,144.79807,2015-04-02,
AP018,13.49241,144.8011,2015-04-02,
AP019,13.50044,144.8187,2015-04-02,
AP020,13.49982,144.8197,2015-04-02,
AP021,13.49791,144.81987,2015-04-02,
AP022,13.49315,144.82146,2015-04-02,
AP023,13.49214,144.81905,2015-04-02,
AP024,13.49061,144.82056,2015-04-02,
AP025,13.48542,144.819,2015-04-02,
AP026,13.48466,144.81847,2015-04-02,
AP027,13.48408,144.81647,2015-04-02,
AP028,13.49454,144.80481,2015-04-08,
AP029,13.49505,144.80579,2015-04-08,
AP030,13.49522,144.80626,2015-04-08,
AP031,13.49554,144.80699,2015-04-08,
AP032,13.49567,144.80737,2015-04-08,
AP033,13.48338,144.81345,2015-04-08,
AP034,13.48285,144.81287,2015-04-08,
AP035,13.48225,144.81241,2015-04-08,
AP036,13.48115,144.81169,2015-04-08,
AP037,13.48027,144.81113,2015-04-08,
AP038,13.49806,144.81282,2015-04-14,
AP039,13.4988,144.81334,2015-04-14,
AP040,13.49953,144.81396,2015-04-14,
AP041,13.50014,144.81493,2015-04-14,
AP042,13.50075,144.81618,2015-04-14,
AP043,13.48977,144.79726,2015-04-14,
AP044,13.48948,144.79593,2015-04-14,
AP045,13.48891,144.79442,2015-04-14,
AP046,13.48782,144.79346,2015-04-14,
AP047,13.48739,144.79239,2015-04-14,
AP048,13.48695,144.79155,2015-04-14,
AP049,13.48655,144.79085,2015-04-14,
AP050,13.48572,144.7899,,
AP051,13.48494,144.78819,2015-04-14,
AP052,13.48461,144.78769,2015-04-14,
AP053,13.48413,144.78603,2015-04-14,
AP054,13.48366,144.78499,2015-04-14,
AP055,13.48322,144.78409,,
AP056,13.48273,144.78296,2015-04-14,
AP057,13.48114,144.78041,2015-04-14,
AP058,13.48023,144.77733,,
AP059,13.47493,144.78256,2015-04-14,
AP060,13.47441,144.78683,2015-04-14,
AP061,13.47926,144.81049,2015-04-14,
AP062,13.47947,144.80933,2015-04-14,
AP063,13.47893,144.80814,2015-04-22,
AP064,13.47324,144.79347,2015-04-22,
AP065,13.47336,144.79248,2015-04-22,
AP066,13.47347,144.79021,2015-04-22,
AP067,13.47844,144.77676,2015-04-22,
AP068,13.47795,144.77724,2015-04-22,
AP069,13.47464,144.7804,2015-04-22,
AP070,13.49593,144.80794,2015-04-22,
AP071,13.49425,144.8042,2015-04-22,2015-04-28
AP072,13.49385,144.80342,2015-04-22,
AP073,13.49346,144.8026,2015-04-22,
AP074,13.49723,144.81227,2015-04-22,
AP075,13.49692,144.81165,2015-04-22,
AP076,13.49741,144.82065,2015-04-22,
AP077,13.48405,144.81497,2015-04-22,
