trap_id,latitude,longitude
31,13.52887301,144.87430491
7,13.53283885,144.87388624
2,13.53356971,144.87163084
4,13.53272342,144.87114972
19,13.53050291,144.87140181
27,13.5288609,144.87064198
30,13.52885311,144.87348489
20,13.53041262,144.87223441
6,13.53269489,144.87292313
14,13.53120811,144.87120526
21,13.53055023,144.87310165
15,13.53121775,144.8721696
8,13.53283981,144.87470449
9,13.53196947,144.87077947
12,13.53206616,144.87342248
25,13.52971638,144.87274963
1,13.53352249,144.87075195
5,13.53275948,144.87189652
29,13.52887734,144.87234513
17,13.53126761,144.87392391
22,13.53057802,144.87419684
13,13.53192129,144.87448877
3,13.53350685,144.87484174
28,13.52887756,144.8716591
11,13.53194108,144.87238157
26,13.52982574,144.874096
10,13.53214715,144.87180987
18,13.53059504,144.87070758
16,13.53130603,144.87311184
23,13.5300335,144.87093592
24,13.52976026,144.87224282
